,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
3259,Q003433.3.1,ša[of]DET,[ša,ša,ša,of,DET,['𒊭'],𒊭,[ša],['missing'],1.0,,,Q003433,3,1
3260,Q003433.3.2,"Rahiani[Rezin, king of Damascus]RN",{m]}⸢ra⸣-hi-a-ni,Rahiani,Rahianu,"Rezin, king of Damascus",RN,"['𒁹', '𒊏', '𒄭', '𒀀', '𒉌']",𒁹𒊏𒄭𒀀𒉌,{[m]}⸢ra⸣-hi-a-ni,"['missing', 'damaged', 'complete', 'complete', 'complete']",0.3,RN,,Q003433,3,2
3261,Q003433.3.3,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003433,3,3
3262,Q003433.3.4,šallassu[booty]N,šal-la-su],šallassu,šallatu,booty,N,"['𒊩', '𒆷', '𒋢']",𒊩𒆷𒋢,[šal-la-su],"['missing', 'missing', 'missing']",1.0,,,Q003433,3,4
3263,Q003433.4.1,kabittu[heavy]AJ,[ka]-bit-tu,kabittu,kabtu,heavy,AJ,"['𒅗', '𒂍', '𒌅']",𒅗𒂍𒌅,[ka]-bit-tu,"['missing', 'complete', 'complete']",0.33,,,Q003433,4,1
3264,Q003433.4.2,ašlula[carry off]V,[aš₂-lu-la,ašlula,šalālu,carry off,V,"['𒀾', '𒇻', '𒆷']",𒀾𒇻𒆷,[aš₂-lu-la],"['missing', 'missing', 'missing']",1.0,,,Q003433,4,2
3265,Q003433.4.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003433,4,3
3266,Q003433.4.4,māliku[adviser]N$mālikšu,{⸢lu₂⸣}ma-lik-⸢šu⸣,mālikšu,māliku,adviser,N,"['𒇽', '𒈠', '𒌨', '𒋗']",𒇽𒈠𒌨𒋗,{⸢LU₂⸣}ma-lik-⸢šu⸣,"['damaged', 'complete', 'complete', 'damaged']",0.25,,,Q003433,4,4
3267,Q003433.4.5,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003433,4,5
3268,Q003433.5.1,dāmē[blood]N,[da-me],dāmē,dāmu,blood,N,"['𒁕', '𒈨']",𒁕𒈨,[da-me],"['missing', 'missing']",1.0,,,Q003433,5,1
3269,Q003433.5.2,qurādu[hero//warrior]N$qurādīšu,{⸢lu₂⸣}qu-[ra-di-šu₂],qurādīšu,qurādu,warrior,N,"['𒇽', '𒄣', '𒊏', '𒁲', '𒋙']",𒇽𒄣𒊏𒁲𒋙,{⸢LU₂⸣}qu-[ra-di-šu₂],"['damaged', 'complete', 'missing', 'missing', 'missing']",0.7,,,Q003433,5,2
3270,Q003433.5.3,u,{⸢id₂⸣}x,,,,u,"['𒀀𒇉', 'x']",𒀀𒇉x,{⸢ID₂⸣}x,"['damaged', 'complete']",0.25,,,Q003433,5,3
3271,Q003433.5.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003433,5,4
3272,Q003433.5.5,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003433,5,5
3273,Q003433.5.6,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003433,5,6
3274,Q003433.5.7,šamru[furious]AJ,šam-ru,šamru,šamru,furious,AJ,"['𒌑', '𒊒']",𒌑𒊒,šam-ru,"['complete', 'complete']",0.0,,,Q003433,5,7
3275,Q003433.6.1,ṣarāpu[burn//dye (red)]V$aṣrupa,[aṣ]-ru-pa,aṣrupa,ṣarāpu,dye (red),V,"['𒊍', '𒊒', '𒉺']",𒊍𒊒𒉺,[aṣ]-ru-pa,"['missing', 'complete', 'complete']",0.33,,,Q003433,6,1
3276,Q003433.6.2,illūriš[like a (red) flower]AV$,[il]-lu-ri-[iš,illūriš,illūriš,like a (red) flower,AV,"['𒅋', '𒇻', '𒊑', '𒅖']",𒅋𒇻𒊑𒅖,[il]-lu-ri-[iš],"['missing', 'complete', 'complete', 'missing']",0.5,,,Q003433,6,2
3277,Q003433.6.3,u,...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003433,6,3
3278,Q003433.6.4,āliku[goer]N$ālik,a-lik],ālik,āliku,goer,N,"['𒀀', '𒌨']",𒀀𒌨,[a-lik],"['missing', 'missing']",1.0,,,Q003433,6,4
3279,Q003433.6.5,pānišu[front]N,pa-ni-šu,pānišu,pānu,front,N,"['𒉺', '𒉌', '𒋗']",𒉺𒉌𒋗,pa-ni-šu,"['complete', 'complete', 'complete']",0.0,,,Q003433,6,5
