,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
3139,Q003429.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,2,1
3140,Q003429.3.1,u +.,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,3,1
3141,Q003429.4.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,4,1
3142,Q003429.4.2,šallassunu[booty]N,šal]-la-su-nu,šallassunu,šallatu,booty,N,"['𒊩', '𒆷', '𒋢', '𒉡']",𒊩𒆷𒋢𒉡,[šal]-la-su-nu,"['missing', 'complete', 'complete', 'complete']",0.25,,,Q003429,4,2
3143,Q003429.4.3,ašlula[carry off]V,[aš₂-lu-la,ašlula,šalālu,carry off,V,"['𒀾', '𒇻', '𒆷']",𒀾𒇻𒆷,[aš₂-lu-la],"['missing', 'missing', 'missing']",1.0,,,Q003429,4,3
3144,Q003429.4.4,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,4,4
3145,Q003429.5.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,5,1
3146,Q003429.5.2,upahhirma[gather]V,⸢u₂-pah⸣-hir-ma,upahhirma,pahāru,gather,V,"['𒌑', '𒈜', '𒆟', '𒈠']",𒌑𒈜𒆟𒈠,⸢u₂-pah⸣-hir-ma,"['damaged', 'damaged', 'complete', 'complete']",0.25,,,Q003429,5,2
3147,Q003429.5.3,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,,Q003429,5,3
3148,Q003429.5.4,u,{⸢kur⸣}[...],,,,u,"['𒆳', 'x']",𒆳x,{⸢KUR⸣}[x],"['damaged', 'missing']",0.75,,,Q003429,5,4
3149,Q003429.5.5,u,{kur}x,,,,u,"['𒆳', 'x']",𒆳x,{KUR}x,"['complete', 'complete']",0.0,,,Q003429,5,5
3150,Q003429.5.6,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003429,5,6
3151,Q003429.5.7,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003429,5,7
3152,Q003429.5.8,u,⸢MEŠ⸣,,,,u,['𒎌'],𒎌,⸢MEŠ⸣,['damaged'],0.5,,,Q003429,5,8
3153,Q003429.5.9,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003429,5,9
3154,Q003429.5.10,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003429,5,10
3155,Q003429.5.11,u,{⸢kur⸣}x,,,,u,"['𒆳', 'x']",𒆳x,{⸢KUR⸣}x,"['damaged', 'complete']",0.25,,,Q003429,5,11
3156,Q003429.5.12,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,5,12
3157,Q003429.5.13,u,{⸢kur⸣}[...],,,,u,"['𒆳', 'x']",𒆳x,{⸢KUR⸣}[x],"['damaged', 'missing']",0.75,,,Q003429,5,13
3158,Q003429.6.1,arkišunu[after]PRP,⸢ar⸣-[ki-šu₂-nu,arkišunu,warki,after,PRP,"['𒅈', '𒆠', '𒋙', '𒉡']",𒅈𒆠𒋙𒉡,⸢ar⸣-[ki-šu₂-nu],"['damaged', 'missing', 'missing', 'missing']",0.88,,,Q003429,6,1
3159,Q003429.6.2,elû[go up//ascend]V$ēlima,e]-li-ma,ēlima,elû,ascend,V,"['𒂊', '𒇷', '𒈠']",𒂊𒇷𒈠,[e]-li-ma,"['missing', 'complete', 'complete']",0.33,,,Q003429,6,2
3160,Q003429.6.3,dīktašunu[defeat]N,di-ik-ta-šu₂-nu,dīktašunu,dīktu,defeat,N,"['𒁲', '𒅅', '𒋫', '𒋙', '𒉡']",𒁲𒅅𒋫𒋙𒉡,di-ik-ta-šu₂-nu,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,Q003429,6,3
3161,Q003429.6.4,adūk[defeat]V,[a-duk,adūk,dâku,defeat,V,"['𒀀', '𒂁']",𒀀𒂁,[a-duk],"['missing', 'missing']",1.0,,,Q003429,6,4
3162,Q003429.6.5,šallassunu[booty]N,šal]-la-su-nu,šallassunu,šallatu,booty,N,"['𒊩', '𒆷', '𒋢', '𒉡']",𒊩𒆷𒋢𒉡,[šal]-la-su-nu,"['missing', 'complete', 'complete', 'complete']",0.25,,,Q003429,6,5
3163,Q003429.6.6,ašlula[carry off]V,aš₂-lu-la,ašlula,šalālu,carry off,V,"['𒀾', '𒇻', '𒆷']",𒀾𒇻𒆷,aš₂-lu-la,"['complete', 'complete', 'complete']",0.0,,,Q003429,6,6
3164,Q003429.6.7,Yabittarru[ruler of Amate]RN$,{m}ia-⸢bit⸣-ta-ar-⸢ru⸣,Yabittarru,Yabittarru,ruler of Amate,RN,"['𒁹', '𒅀', '𒂍', '𒋫', '𒅈', '𒊒']",𒁹𒅀𒂍𒋫𒅈𒊒,{m}ia-⸢bit⸣-ta-ar-⸢ru⸣,"['complete', 'complete', 'damaged', 'complete', 'complete', 'damaged']",0.17,RN,,Q003429,6,7
3165,Q003429.6.8,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003429,6,8
3166,Q003429.7.1,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003429,7,1
3167,Q003429.7.2,u,⸢a,,,,u,['𒀀'],𒀀,⸢a⸣,['damaged'],0.5,,,Q003429,7,2
3168,Q003429.7.3,u,tu⸣,,,,u,['𒌅'],𒌅,⸢tu⸣,['damaged'],0.5,,,Q003429,7,3
3169,Q003429.7.4,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003429,7,4
3170,Q003429.7.5,sittūtu[those remaining]N$sittūtešunu,[si-it-tu]-u₂-te-šu₂-nu,sittūtešunu,sittūtu,those remaining,N,"['𒋛', '𒀉', '𒌅', '𒌑', '𒋼', '𒋙', '𒉡']",𒋛𒀉𒌅𒌑𒋼𒋙𒉡,[si-it-tu]-u₂-te-šu₂-nu,"['missing', 'missing', 'missing', 'complete', 'complete', 'complete', 'complete']",0.43,,,Q003429,7,5
3171,Q003429.7.6,ša[that]REL,ša,ša,ša,that,REL,['𒊭'],𒊭,ša,['complete'],0.0,,,Q003429,7,6
