,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
13558,Q003466.1.1,"Tukulti-apil-Ešarra[Tiglath-pileser III, king of Assyria]RN",{m}tukul-[ti-A-e₂-šar₂]-⸢ra⸣,Tukulti-apil-Ešarra,Tukulti-apil-Ešarra_III,"Tiglath-pileser III, king of Assyria",RN,"['𒁹', '𒆪', '𒋾', '𒀀', '𒂍', '𒊹', '𒊏']",𒁹𒆪𒋾𒀀𒂍𒊹𒊏,{m}tukul-[ti-A-e₂-šar₂]-⸢ra⸣,"['complete', 'complete', 'missing', 'missing', 'missing', 'missing', 'damaged']",0.64,RN,,Q003466,1,1
13559,Q003466.1.2,šarru[king]N,MAN,šarru,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,,Q003466,1,2
13560,Q003466.1.3,rabû[great]AJ,[GAL,rabû,rabû,great,AJ,['𒃲'],𒃲,[GAL],['missing'],1.0,,,Q003466,1,3
13561,Q003466.1.4,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,1,4
13562,Q003466.2.1,kāšid[conqueror]N,⸢ka-šid⸣,kāšid,kāšidu,conqueror,N,"['𒅗', '𒋃']",𒅗𒋃,⸢ka-šid⸣,"['damaged', 'damaged']",0.5,,,Q003466,2,1
13563,Q003466.2.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,2,2
13564,Q003466.3.1,kāšid[conqueror]N,⸢ka⸣-[šid,kāšid,kāšidu,conqueror,N,"['𒅗', '𒋃']",𒅗𒋃,⸢ka⸣-[šid],"['damaged', 'missing']",0.75,,,Q003466,3,1
13565,Q003466.3.2,Ituʾu[]EN$,{lu₂}i]-⸢tu⸣-ʾu,Ituʾu,Ituʾu,1,EN,"['𒇽', '𒄿', '𒌅', '𒀪']",𒇽𒄿𒌅𒀪,{[LU₂]}[i]-⸢tu⸣-ʾu,"['missing', 'missing', 'damaged', 'complete']",0.62,,,Q003466,3,2
13566,Q003466.3.3,Rupuʾu[of Rupuʾu]EN,{lu₂}ru-bu-ʾu,Rubuʾu,Rupuʾu,of Rupuʾu,EN,"['𒇽', '𒊒', '𒁍', '𒀪']",𒇽𒊒𒁍𒀪,{LU₂}ru-bu-ʾu,"['complete', 'complete', 'complete', 'complete']",0.0,,,Q003466,3,3
13567,Q003466.3.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,3,4
13568,Q003466.4.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,4,1
13569,Q003466.4.2,dâku[kill//defeat]V$adūk +.,a-duk₂,adūk,dâku,defeat,V,"['𒀀', '𒌇']",𒀀𒌇,a-duk₂,"['complete', 'complete']",0.0,,,Q003466,4,2
13570,Q003466.12.1,u,[...]-šir₃/hir,,,,u,"['x', '𒂡', '𒆟']",x𒂡𒆟,[x]šir₃/hir,"['missing', 'complete', 'complete']",0.33,,,Q003466,12,1
13571,Q003466.12.2,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,12,2
13572,Q003466.12.3,u,DIŠ,,,,u,['𒁹'],𒁹,DIŠ,['complete'],0.0,,,Q003466,12,3
13573,Q003466.12.4,u,pa-x-⸢ia⸣-u,,,,u,"['𒉺', 'x', '𒅀', '𒌋']",𒉺x𒅀𒌋,pa-x-⸢ia⸣-u,"['complete', 'complete', 'damaged', 'complete']",0.12,,,Q003466,12,4
13574,Q003466.12.5,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,12,5
13575,Q003466.13.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,13,1
13576,Q003466.13.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003466,13,2
13577,Q003466.13.3,u,x-⸢šu₂⸣,,,,u,"['x', '𒋙']",x𒋙,x-⸢šu₂⸣,"['complete', 'damaged']",0.25,,,Q003466,13,3
13578,Q003466.13.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,13,4
13579,Q003466.13.5,u,⸢ni/sa⸣-x-⸢ru⸣,,,,u,"['𒉌', '𒊓', 'x', '𒊒']",𒉌𒊓x𒊒,⸢ni⸣/⸢sa⸣-x-⸢ru⸣,"['damaged', 'damaged', 'complete', 'damaged']",0.38,,,Q003466,13,5
13580,Q003466.14.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,14,1
13581,Q003466.14.2,Hauranu[Mount Hauranu]GN,{kur}ha-u-⸢ra⸣-nu,Hauranu,Hauranu,Mount Hauranu,GN,"['𒆳', '𒄩', '𒌋', '𒊏', '𒉡']",𒆳𒄩𒌋𒊏𒉡,{KUR}ha-u-⸢ra⸣-nu,"['complete', 'complete', 'complete', 'damaged', 'complete']",0.1,GN,,Q003466,14,2
13582,Q003466.14.3,šadû[mountain]N$šadê,⸢KUR⸣,šadê,šadû,mountain,N,['𒆳'],𒆳,⸢KUR⸣,['damaged'],0.5,,,Q003466,14,3
13583,Q003466.14.4,malû[be(come) full//fill (up)]V$umalli,u₂-ma-li,umalli,malû,fill (up),V,"['𒌑', '𒈠', '𒇷']",𒌑𒈠𒇷,u₂-ma-li,"['complete', 'complete', 'complete']",0.0,,,Q003466,14,4
13584,Q003466.15.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003466,15,1
13585,Q003466.15.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003466,15,2
13586,Q003466.15.3,līm[thousand]NU,⸢LIM,līm,līm,thousand,NU,['𒅆'],𒅆,⸢LIM⸣,['damaged'],0.5,,,Q003466,15,3
13587,Q003466.15.4,immerī[sheep]N,UDU⸣.MEŠ,immerī,immeru,sheep,N,"['𒇻', '𒎌']",𒇻𒎌,⸢UDU⸣.MEŠ,"['damaged', 'complete']",0.25,,,Q003466,15,4
13588,Q003466.15.5,šallassunu[booty]N,šal-⸢la⸣-su-⸢nu⸣,šallassunu,šallatu,booty,N,"['𒊩', '𒆷', '𒋢', '𒉡']",𒊩𒆷𒋢𒉡,šal-⸢la⸣-su-⸢nu⸣,"['complete', 'damaged', 'complete', 'damaged']",0.25,,,Q003466,15,5
