,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
4741,Q003449.2.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003449,2,1
4742,Q003449.2.2,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003449,2,2
4743,Q003449.2.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003449,2,3
4744,Q003449.2.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003449,2,4
4745,Q003449.3.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003449,3,1
4746,Q003449.3.2,maddattu[payment]N,ma-da]-⸢at⸣-tu,maddattu,maddattu,payment,N,"['𒈠', '𒁕', '𒀜', '𒌅']",𒈠𒁕𒀜𒌅,[ma-da]-⸢at⸣-tu,"['missing', 'missing', 'damaged', 'complete']",0.62,,,Q003449,3,2
4747,Q003449.3.3,ša[of]DET,[ša,ša,ša,of,DET,['𒊭'],𒊭,[ša],['missing'],1.0,,,Q003449,3,3
4748,Q003449.3.4,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003449,3,4
4749,Q003449.4.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003449,4,1
4750,Q003449.4.2,Sulumal[king of Melid]RN,{m}su-lu-ma]-⸢al⸣,Sulumal,Sulumal,king of Melid,RN,"['𒁹', '𒋢', '𒇻', '𒈠', '𒀠']",𒁹𒋢𒇻𒈠𒀠,{[m]}[su-lu-ma]-⸢al⸣,"['missing', 'missing', 'missing', 'missing', 'damaged']",0.9,RN,,Q003449,4,2
4751,Q003449.4.3,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,Q003449,4,3
4752,Q003449.4.4,Meliddu[Melid]GN$Meliddi,{kur}me-[lid-di,Meliddi,Meliddu,1,GN,"['𒆳', '𒈨', '𒀖', '𒁲']",𒆳𒈨𒀖𒁲,{KUR}me-[lid-di],"['complete', 'complete', 'missing', 'missing']",0.5,GN,,Q003449,4,4
4753,Q003449.4.5,u +.,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003449,4,5
4754,Q003449.5.1,u,[...]-ni,,,,u,"['x', '𒉌']",x𒉌,[x]ni,"['missing', 'complete']",0.5,,,Q003449,5,1
