,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
13964,Q003438.3.1,ēkal[palace]N,[E₂.GAL,ēkal,ēkallu,palace,N,"['𒂍', '𒃲']",𒂍𒃲,[E₂].[GAL],"['missing', 'missing']",1.0,,,Q003438,3,1
13965,Q003438.3.2,erēni[cedar]N,{giš}EREN,erēni,erēnu,cedar,N,"['𒄑', '𒂞']",𒄑𒂞,{[GIŠ]}[EREN],"['missing', 'missing']",1.0,,,Q003438,3,2
13966,Q003438.3.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003438,3,3
13967,Q003438.3.4,ana[for]PRP,ana,ana,ana,for,PRP,['𒁹'],𒁹,ana,['complete'],0.0,,,Q003438,3,4
13968,Q003438.3.5,mūšab[residence]N,mu-šab,mūšab,mūšabu,residence,N,"['𒈬', '𒉺𒅁']",𒈬𒉺𒅁,mu-šab,"['complete', 'complete']",0.0,,,Q003438,3,5
13969,Q003438.3.6,bēlūtiya[lordship]N,[EN]-ti-ia,bēlūtiya,bēlūtu,lordship,N,"['𒂗', '𒋾', '𒅀']",𒂗𒋾𒅀,[EN]-ti-ia,"['missing', 'complete', 'complete']",0.33,,,Q003438,3,6
13970,Q003438.3.7,u[and]CNJ,[u₃,u,u,and,CNJ,['𒅇'],𒅇,[u₃],['missing'],1.0,,,Q003438,3,7
13971,Q003438.3.8,bīt[house]N,E₂,bīt,bītu,house,N,['𒂍'],𒂍,[E₂],['missing'],1.0,,,Q003438,3,8
13972,Q003438.3.9,hilāni[portico(ed building)]N$hitlanni,hi-it-la-an-ni,hitlanni,hilāni,portico(ed building),N,"['𒄭', '𒀉', '𒆷', '𒀭', '𒉌']",𒄭𒀉𒆷𒀭𒉌,[hi-it-la-an-ni],"['missing', 'missing', 'missing', 'missing', 'missing']",1.0,,,Q003438,3,9
13973,Q003438.3.10,tamšīl[replica]N,tam-šil,tamšīl,tamšīlu,replica,N,"['𒌓', '𒋻']",𒌓𒋻,[tam-šil],"['missing', 'missing']",1.0,,,Q003438,3,10
13974,Q003438.3.11,ēkal[palace]N,E₂.GAL],ēkal,ēkallu,palace,N,"['𒂍', '𒃲']",𒂍𒃲,[E₂].[GAL],"['missing', 'missing']",1.0,,,Q003438,3,11
13975,Q003438.4.1,Hatti[Syria-Palestine]GN,{[kur}hat-ti,Hatti,Hatti,Syria-Palestine,GN,"['𒆳', '𒉺', '𒋾']",𒆳𒉺𒋾,{[KUR]}[hat-ti],"['missing', 'missing', 'missing']",1.0,GN,,Q003438,4,1
13976,Q003438.4.2,ana[for]PRP,ana],ana,ana,for,PRP,['𒁹'],𒁹,[ana],['missing'],1.0,,,Q003438,4,2
13977,Q003438.4.3,muštaʾʾûtu[leisure]N$multaʾʾûtiya,mul-ta-ʾu-ti-ia,multaʾʾûtiya,muštaʾʾûtu,leisure,N,"['𒀯', '𒋫', '𒀪', '𒋾', '𒅀']",𒀯𒋫𒀪𒋾𒅀,mul-ta-ʾu-ti-ia,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,Q003438,4,3
13978,Q003438.4.4,ina[in]PRP,[ina,ina,ina,in,PRP,['𒀸'],𒀸,[ina],['missing'],1.0,,,Q003438,4,4
13979,Q003438.4.5,qereb[interior]N,qe₂-reb,qereb,qerbu,interior,N,"['𒆠', '𒆗']",𒆠𒆗,[qe₂-reb],"['missing', 'missing']",1.0,,,Q003438,4,5
13980,Q003438.4.6,Kalhi[Calah]SN,{uru}kal-hi,Kalhi,Kalhu,Calah,SN,"['𒌷', '𒆗', '𒄭']",𒌷𒆗𒄭,{[URU]}[kal-hi],"['missing', 'missing', 'missing']",1.0,,,Q003438,4,6
13981,Q003438.4.7,ēpuš[build]V,DU₃-uš,ēpuš,epēšu,build,V,"['𒆕', '𒍑']",𒆕𒍑,[DU₃-uš],"['missing', 'missing']",1.0,,,Q003438,4,7
13982,Q003438.4.8,u,x,,,,u,['x'],x,[x],['missing'],1.0,,,Q003438,4,8
13983,Q003438.4.9,ammati[a unit of length]N,KUŠ₃,ammati,ammatu,a unit of length,N,['𒌑'],𒌑,[KUŠ₃],['missing'],1.0,,,Q003438,4,9
13984,Q003438.4.10,rabītu[large]AJ,GAL-tu₂],rabītu,rabû,large,AJ,"['𒃲', '𒌓']",𒃲𒌓,[GAL-tu₂],"['missing', 'missing']",1.0,,,Q003438,4,10
13985,Q003438.5.1,šiddu[side]N$,šid-du,šiddu,šiddu,side,N,"['𒋃', '𒁺']",𒋃𒁺,šid-du,"['complete', 'complete']",0.0,,,Q003438,5,1
