,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
10228,Q006329.2.1,perʾu[bud//offspring]N$perʾi,NUNUZ,perʾi,perʾu,offspring,N,['𒉭'],𒉭,NUNUZ,['complete'],0.0,,,Q006329,2,1
10229,Q006329.2.2,Baltil[Aššur]QN,bal-til{ki},Baltil,Baltil,Aššur,QN,"['𒁄', '𒌀', '𒆠']",𒁄𒌀𒆠,bal-til{KI},"['complete', 'complete', 'complete']",0.0,,,Q006329,2,2
10230,Q006329.2.3,šūquru[very valuable]AJ,šu-⸢qu-ru⸣,šūquru,šūquru,very valuable,AJ,"['𒋗', '𒄣', '𒊒']",𒋗𒄣𒊒,šu-⸢qu-ru⸣,"['complete', 'damaged', 'damaged']",0.33,,,Q006329,2,3
10231,Q006329.2.4,narām[loved one]N,na-ram,narām,narāmu,loved one,N,"['𒈾', '𒉘']",𒈾𒉘,na-ram,"['complete', 'complete']",0.0,,,Q006329,2,4
10232,Q006329.2.5,u,{d}[(...),,,,u,"['𒀭', 'x']",𒀭x,{d}[x],"['complete', 'missing']",0.5,,,Q006329,2,5
10233,Q006329.2.6,Šerua[]DN$,{d}še]-ru-a,Šerua,Šerua,1,DN,"['𒀭', '𒊺', '𒊒', '𒀀']",𒀭𒊺𒊒𒀀,{[d]}[še]-ru-a,"['missing', 'missing', 'complete', 'complete']",0.5,DN,,Q006329,2,6
10234,Q006329.2.7,u,AB,,,,u,['𒀊'],𒀊,AB,['complete'],0.0,,,Q006329,2,7
10235,Q006329.2.8,u,BA,,,,u,['𒁀'],𒁀,BA,['complete'],0.0,,,Q006329,2,8
10236,Q006329.2.9,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q006329,2,9
10237,Q006329.2.10,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q006329,2,10
10238,Q006329.3.1,pitqu[brickwork//creation]N$pitiq,pi-tiq,pitiq,pitqu,creation,N,"['𒉿', '𒄘']",𒉿𒄘,pi-tiq,"['complete', 'complete']",0.0,,,Q006329,3,1
10239,Q006329.3.2,Ninmena[]DN$,{d}nin-⸢men-na⸣,Ninmena,Ninmena,1,DN,"['𒀭', '𒎏', '𒃞', '𒈾']",𒀭𒎏𒃞𒈾,{d}nin-⸢men-na⸣,"['complete', 'complete', 'damaged', 'damaged']",0.25,DN,,Q006329,3,2
10240,Q006329.3.3,ša[who]REL,ša₂,ša,ša,who,REL,['𒃻'],𒃻,ša₂,['complete'],0.0,,,Q006329,3,3
10241,Q006329.3.4,ana[for]PRP,a-na,ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,,Q006329,3,4
10242,Q006329.3.5,bēlūt[lordship]N,be-lut,bēlūt,bēlūtu,lordship,N,"['𒁁', '𒂁']",𒁁𒂁,be-lut,"['complete', 'complete']",0.0,,,Q006329,3,5
10243,Q006329.3.6,mātāti[land]N,⸢KUR.KUR⸣,mātāti,mātu,land,N,"['𒆳', '𒆳']",𒆳𒆳,⸢KUR⸣.⸢KUR⸣,"['damaged', 'damaged']",0.5,,,Q006329,3,6
10244,Q006329.3.7,u,[(...)],,,,u,['x'],x,[x],['missing'],1.0,,,Q006329,3,7
10245,Q006329.3.8,u,AN,,,,u,['𒀭'],𒀭,AN,['complete'],0.0,,,Q006329,3,8
10246,Q006329.3.9,u,TI,,,,u,['𒋾'],𒋾,TI,['complete'],0.0,,,Q006329,3,9
10247,Q006329.3.10,u,AL,,,,u,['𒀠'],𒀠,AL,['complete'],0.0,,,Q006329,3,10
10248,Q006329.3.11,u,ŠID,,,,u,['𒋃'],𒋃,ŠID,['complete'],0.0,,,Q006329,3,11
10249,Q006329.3.12,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q006329,3,12
10250,Q006329.4.1,rabû[be(come) big//grow up]V$irbû,ir-bu-u₂,irbû,rabû,grow up,V,"['𒅕', '𒁍', '𒌑']",𒅕𒁍𒌑,ir-bu-u₂,"['complete', 'complete', 'complete']",0.0,,,Q006329,4,1
10251,Q006329.4.2,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,,Q006329,4,2
10252,Q006329.4.3,šarrūti[kingship]N,LUGAL-u₂-ti,šarrūti,šarrūtu,kingship,N,"['𒈗', '𒌑', '𒋾']",𒈗𒌑𒋾,LUGAL-u₂-ti,"['complete', 'complete', 'complete']",0.0,,,Q006329,4,3
10253,Q006329.4.4,šakkanakku[(military) governor]N$,GIR₃.NITA₂,šakkanakku,šakkanakku,(military) governor,N,"['𒄊', '𒀴']",𒄊𒀴,GIR₃.NITA₂,"['complete', 'complete']",0.0,,,Q006329,4,4
