,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
10187,Q003626.1.1,ēkal[palace]N,E₂.GAL,ēkal,ēkallu,palace,N,"['𒂍', '𒃲']",𒂍𒃲,E₂.GAL,"['complete', 'complete']",0.0,,,Q003626,1,1
10188,Q003626.1.2,"Salmanu-ašared_V[Shalmaneser V, king of Assyria]RN$Salmanu-ašared",{m}{d}SILIM-man-MAŠ,Salmanu-ašared,Salmanu-ašared_V,"Shalmaneser V, king of Assyria",RN,"['𒁹', '𒀭', '𒁲', '𒎙', '𒈦']",𒁹𒀭𒁲𒎙𒈦,{m}{d}SILIM-man-MAŠ,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,RN,,Q003626,1,2
10189,Q003626.2.1,šar[king]N,MAN,šar,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,,Q003626,2,1
10190,Q003626.2.2,māt[land]N,KUR,māt,mātu,land,N,['𒆳'],𒆳,KUR,['complete'],0.0,,,Q003626,2,2
10191,Q003626.2.3,Aššur[Assyria]GN,AŠ,Aššur,Aššur,Assyria,GN,['𒀸'],𒀸,AŠ,['complete'],0.0,GN,,Q003626,2,3
10192,Q003626.3.1,n,1,,,,n,['𒁹'],𒁹,1,['complete'],0.0,NUMBER,,Q003626,3,1
10193,Q003626.3.2,manê[a unit of weight]N,MA.NA,manê,manû,a unit of weight,N,"['𒈠', '𒈾']",𒈠𒈾,MA.NA,"['complete', 'complete']",0.0,,,Q003626,3,2
10194,Q003626.3.3,ša[of]DET,ša₂,ša,ša,of,DET,['𒃻'],𒃻,ša₂,['complete'],0.0,,,Q003626,3,3
10195,Q003626.3.4,šarri[king]N +.,MAN,šarri,šarru,king,N,['𒎙'],𒎙,MAN,['complete'],0.0,,,Q003626,3,4
10196,Q003626.4.1,%arc:mnh=,mnh,,,,,,,,,,,ARAMAIC,Q003626,4,1
10197,Q003626.5.1,%arc:mnh=,mnh,,,,,,,,,,,ARAMAIC,Q003626,5,1
10198,Q003626.5.2,%arc:mlk=,mlk,,,,,,,,,,,ARAMAIC,Q003626,5,2
