,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
13735,Q003456.3.1,u,[...]-an-šu,,,,u,"['x', '𒀭', '𒋗']",x𒀭𒋗,[x]an-šu,"['missing', 'complete', 'complete']",0.33,,,Q003456,3,1
13736,Q003456.4.1,u,[...]-a-u₂,,,,u,"['x', '𒀀', '𒌑']",x𒀀𒌑,[x]a-u₂,"['missing', 'complete', 'complete']",0.33,,,Q003456,4,1
13737,Q003456.5.1,u,[...]-a-ri-ṣa,,,,u,"['x', '𒀀', '𒊑', '𒍝']",x𒀀𒊑𒍝,[x]a-ri-ṣa,"['missing', 'complete', 'complete', 'complete']",0.25,,,Q003456,5,1
13738,Q003456.6.1,u,[...]-a-nu,,,,u,"['x', '𒀀', '𒉡']",x𒀀𒉡,[x]a-nu,"['missing', 'complete', 'complete']",0.33,,,Q003456,6,1
13739,Q003456.7.1,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003456,7,1
13740,Q003456.7.2,Urmuše[]SN$,{uru}ur-mu-še,Urmuše,Urmuše,1,SN,"['𒌷', '𒌨', '𒈬', '𒊺']",𒌷𒌨𒈬𒊺,{URU}ur-mu-še,"['complete', 'complete', 'complete', 'complete']",0.0,,,Q003456,7,2
13741,Q003456.8.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003456,8,1
13742,Q003456.8.2,Elizanšu[]SN$,{uru}e-li]-za-an-šu,Elizanšu,Elizanšu,1,SN,"['𒌷', '𒂊', '𒇷', '𒍝', '𒀭', '𒋗']",𒌷𒂊𒇷𒍝𒀭𒋗,{[URU]}[e-li]-za-an-šu,"['missing', 'missing', 'missing', 'complete', 'complete', 'complete']",0.5,,,Q003456,8,2
13743,Q003456.9.1,Luqadanšu[1]SN,[...]-an-šu,Luqadanšu,Luqadanšu,1,SN,"['x', '𒀭', '𒋗']",x𒀭𒋗,[x]an-šu,"['missing', 'complete', 'complete']",0.33,,,Q003456,9,1
13744,Q003456.10.1,u,[...]-ta-an-šu,,,,u,"['x', '𒋫', '𒀭', '𒋗']",x𒋫𒀭𒋗,[x]ta-an-šu,"['missing', 'complete', 'complete', 'complete']",0.25,,,Q003456,10,1
