,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
8405,Q003418.2.1,u,[...,,,,u,['x'],x,[x],['missing'],1.0,,,Q003418,2,1
8406,Q003418.2.2,zaʾānu[be(come) adorned//decorate]V$uzaʾʾinšunūtima,u₂]-za-ʾi-in-šu₂-nu-ti-ma,uzaʾʾinšunūtima,zaʾānu,decorate,V,"['𒌑', '𒍝', '𒀪', '𒅔', '𒋙', '𒉡', '𒋾', '𒈠']",𒌑𒍝𒀪𒅔𒋙𒉡𒋾𒈠,[u₂]-za-ʾi-in-šu₂-nu-ti-ma,"['missing', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.12,,,Q003418,2,2
8407,Q003418.2.3,ana[to]PRP,a-na,ana,ana,to,PRP,"['𒀀', '𒈾']",𒀀𒈾,a-na,"['complete', 'complete']",0.0,,,Q003418,2,3
8408,Q003418.2.4,mātu[land]N$mātišunu,KUR-šu-nu,mātišunu,mātu,land,N,"['𒆳', '𒋗', '𒉡']",𒆳𒋗𒉡,KUR-šu-nu,"['complete', 'complete', 'complete']",0.0,,,Q003418,2,4
8409,Q003418.2.5,illikū[go]V,il-li-ku,illikū,alāku,go,V,"['𒅋', '𒇷', '𒆪']",𒅋𒇷𒆪,il-li-ku,"['complete', 'complete', 'complete']",0.0,,,Q003418,2,5
8410,Q003418.2.6,ālāni[city]N,URU.MEŠ,ālāni,ālu,city,N,"['𒌷', '𒎌']",𒌷𒎌,URU.MEŠ,"['complete', 'complete']",0.0,,,Q003418,2,6
8411,Q003418.2.7,šuātunu[those]IP,šu-a-⸢tu⸣-[nu,šuātunu,šuātunu,those,IP,"['𒋗', '𒀀', '𒌅', '𒉡']",𒋗𒀀𒌅𒉡,šu-a-⸢tu⸣-[nu],"['complete', 'complete', 'damaged', 'missing']",0.38,,,Q003418,2,7
8412,Q003418.2.8,ana[for]PRP,a-na],ana,ana,for,PRP,"['𒀀', '𒈾']",𒀀𒈾,[a-na],"['missing', 'missing']",1.0,,,Q003418,2,8
8413,Q003418.2.9,eššūti[newness]N,eš-šu-ti,eššūti,eššūtu,newness,N,"['𒌍', '𒋗', '𒋾']",𒌍𒋗𒋾,eš-šu-ti,"['complete', 'complete', 'complete']",0.0,,,Q003418,2,9
8414,Q003418.2.10,ēpuš[build]V,DU₃-uš,ēpuš,epēšu,build,V,"['𒆕', '𒍑']",𒆕𒍑,DU₃-uš,"['complete', 'complete']",0.0,,,Q003418,2,10
8415,Q003418.2.11,ina[on]PRP,i-na,ina,ina,on,PRP,"['𒄿', '𒈾']",𒄿𒈾,i-na,"['complete', 'complete']",0.0,,,Q003418,2,11
8416,Q003418.2.12,muhhi[skull]N,UGU,muhhi,muhhu,skull,N,['𒌋𒅗'],𒌋𒅗,UGU,['complete'],0.0,,,Q003418,2,12
8417,Q003418.2.13,tīlu[(ruin) mound]N$tīli,DU₆,tīli,tīlu,(ruin) mound,N,['𒇯'],𒇯,DU₆,['complete'],0.0,,,Q003418,2,13
8418,Q003418.2.14,kamru[piled up]AJ$kamri,kam-ri,kamri,kamru,piled up,AJ,"['𒄰', '𒊑']",𒄰𒊑,kam-ri,"['complete', 'complete']",0.0,,,Q003418,2,14
8419,Q003418.3.1,ša[that]REL,[ša₂,ša,ša,that,REL,['𒃻'],𒃻,[ša₂],['missing'],1.0,,,Q003418,3,1
8420,Q003418.3.2,Humut[]SN$,{uru}hu-mut,Humut,Humut,1,SN,"['𒌷', '𒄷', '𒄷𒄭']",𒌷𒄷𒄷𒄭,{[URU]}[hu-mut],"['missing', 'missing', 'missing']",1.0,,,Q003418,3,2
8421,Q003418.3.3,qabû[say//call (by name)]V$iqabbûšuni,i]-⸢qab⸣-bu-šu-ni,iqabbûšuni,qabû,call (by name),V,"['𒄿', '𒃮', '𒁍', '𒋗', '𒉌']",𒄿𒃮𒁍𒋗𒉌,[i]-⸢qab⸣-bu-šu-ni,"['missing', 'damaged', 'complete', 'complete', 'complete']",0.3,,,Q003418,3,3
8422,Q003418.3.4,ālu[city]N$āla,URU,āla,ālu,city,N,['𒌷'],𒌷,URU,['complete'],0.0,,,Q003418,3,4
8423,Q003418.3.5,ēpuš[build]V,DU₃-uš,ēpuš,epēšu,build,V,"['𒆕', '𒍑']",𒆕𒍑,DU₃-uš,"['complete', 'complete']",0.0,,,Q003418,3,5
8424,Q003418.3.6,ultu[from]PRP,ul-tu,ultu,ištu,from,PRP,"['𒌌', '𒌅']",𒌌𒌅,ul-tu,"['complete', 'complete']",0.0,,,Q003418,3,6
8425,Q003418.3.7,uššēšu[foundation]N,uš-še-šu,uššēšu,uššu,foundation,N,"['𒍑', '𒊺', '𒋗']",𒍑𒊺𒋗,uš-še-šu,"['complete', 'complete', 'complete']",0.0,,,Q003418,3,7
8426,Q003418.3.8,adi[to]PRP,a-di,adi,adi,to,PRP,"['𒀀', '𒁲']",𒀀𒁲,a-di,"['complete', 'complete']",0.0,,,Q003418,3,8
8427,Q003418.3.9,gabadibbu[parapet]N$gabadibbēšu,gaba-dib-be₂-e-⸢šu,gabadibbēšu,gabadibbu,parapet,N,"['𒃮', '𒁳', '𒁉', '𒂊', '𒋗']",𒃮𒁳𒁉𒂊𒋗,gaba-dib-be₂-e-⸢šu⸣,"['complete', 'complete', 'complete', 'complete', 'damaged']",0.1,,,Q003418,3,9
8428,Q003418.3.10,raṣāpu[erect//build]V$arṣip,ar⸣-[ṣi-ip,arṣip,raṣāpu,build,V,"['𒅈', '𒍢', '𒅁']",𒅈𒍢𒅁,⸢ar⸣-[ṣi-ip],"['damaged', 'missing', 'missing']",0.83,,,Q003418,3,10
8429,Q003418.3.11,ušaklil[complete]V,u₂]-šak-lil,ušaklil,šuklulu,complete,V,"['𒌑', '𒊕', '𒇸']",𒌑𒊕𒇸,[u₂]-šak-lil,"['missing', 'complete', 'complete']",0.33,,,Q003418,3,11
8430,Q003418.3.12,ēkal[palace]N,E₂.GAL,ēkal,ēkallu,palace,N,"['𒂍', '𒃲']",𒂍𒃲,E₂.GAL,"['complete', 'complete']",0.0,,,Q003418,3,12
8431,Q003418.3.13,mūšab[residence]N,mu-šab,mūšab,mūšabu,residence,N,"['𒈬', '𒉺𒅁']",𒈬𒉺𒅁,mu-šab,"['complete', 'complete']",0.0,,,Q003418,3,13
8432,Q003418.3.14,šarrūtiya[kingship]N,LUGAL-ti-ia,šarrūtiya,šarrūtu,kingship,N,"['𒈗', '𒋾', '𒅀']",𒈗𒋾𒅀,LUGAL-ti-ia,"['complete', 'complete', 'complete']",0.0,,,Q003418,3,14
8433,Q003418.4.1,ina[in]PRP,[i-na,ina,ina,in,PRP,"['𒄿', '𒈾']",𒄿𒈾,[i-na],"['missing', 'missing']",1.0,,,Q003418,4,1
8434,Q003418.4.2,libbi[interior]N,lib₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,[lib₃-bi],"['missing', 'missing']",1.0,,,Q003418,4,2
8435,Q003418.4.3,addi[lay]V,ad-di],addi,nadû,lay,V,"['𒀜', '𒁲']",𒀜𒁲,[ad-di],"['missing', 'missing']",1.0,,,Q003418,4,3
8436,Q003418.4.4,Kar-Aššur[]SN$,{⸢uru⸣}kar-aš-šur,Kar-Aššur,Kar-Aššur,1,SN,"['𒌷', '𒋼𒀀', '𒀸', '𒋩']",𒌷𒋼𒀀𒀸𒋩,{⸢URU⸣}kar-aš-šur,"['damaged', 'complete', 'complete', 'complete']",0.12,,,Q003418,4,4
8437,Q003418.4.5,šumu[name]N$šumšu,MU-šu,šumšu,šumu,name,N,"['𒈬', '𒋗']",𒈬𒋗,MU-šu,"['complete', 'complete']",0.0,,,Q003418,4,5
8438,Q003418.4.6,nabû[name]V$abbi,ab-bi,abbi,nabû,name,V,"['𒀊', '𒁉']",𒀊𒁉,ab-bi,"['complete', 'complete']",0.0,,,Q003418,4,6
8439,Q003418.4.7,kakki[weapon]N,{giš}TUKUL,kakki,kakku,weapon,N,"['𒄑', '𒆪']",𒄑𒆪,{GIŠ}TUKUL,"['complete', 'complete']",0.0,,,Q003418,4,7
8440,Q003418.4.8,Aššur[1]DN,aš-šur,Aššur,Aššur,1,DN,"['𒀸', '𒋩']",𒀸𒋩,aš-šur,"['complete', 'complete']",0.0,DN,,Q003418,4,8
8441,Q003418.4.9,bēliya[lord]N,EN-ia,bēliya,bēlu,lord,N,"['𒂗', '𒅀']",𒂗𒅀,EN-ia,"['complete', 'complete']",0.0,,,Q003418,4,9
8442,Q003418.4.10,ina[in]PRP,i-na,ina,ina,in,PRP,"['𒄿', '𒈾']",𒄿𒈾,i-na,"['complete', 'complete']",0.0,,,Q003418,4,10
8443,Q003418.4.11,libbi[interior]N,lib₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,lib₃-bi,"['complete', 'complete']",0.0,,,Q003418,4,11
8444,Q003418.4.12,arme[set in place]V,ar-me,arme,ramû,set in place,V,"['𒅈', '𒈨']",𒅈𒈨,ar-me,"['complete', 'complete']",0.0,,,Q003418,4,12
8445,Q003418.4.13,nišī[people]N,⸢UN⸣.[MEŠ,nišī,nišu,people,N,"['𒌦', '𒎌']",𒌦𒎌,⸢UN⸣.[MEŠ],"['damaged', 'missing']",0.75,,,Q003418,4,13
8446,Q003418.4.14,mātāti[land]N,KUR.KUR],mātāti,mātu,land,N,"['𒆳', '𒆳']",𒆳𒆳,[KUR].[KUR],"['missing', 'missing']",1.0,,,Q003418,4,14
8447,Q003418.4.15,kišitti[conquest]N,⸢ki⸣-šit-ti,kišitti,kišittu,conquest,N,"['𒆠', '𒋃', '𒋾']",𒆠𒋃𒋾,⸢ki⸣-šit-ti,"['damaged', 'complete', 'complete']",0.17,,,Q003418,4,15
8448,Q003418.4.16,qātīya[hand]N,ŠU.II-ia,qātīya,qātu,hand,N,"['𒋗', '𒅀', '𒅀']",𒋗𒅀𒅀,ŠU.II-ia,"['complete', 'complete', 'complete']",0.0,,,Q003418,4,16
8449,Q003418.4.17,ina[in]PRP,i-na,ina,ina,in,PRP,"['𒄿', '𒈾']",𒄿𒈾,i-na,"['complete', 'complete']",0.0,,,Q003418,4,17
8450,Q003418.4.18,libbi[interior]N,lib₃-bi,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,lib₃-bi,"['complete', 'complete']",0.0,,,Q003418,4,18
8451,Q003418.4.19,ušēšib[settle]V,u₂-še-šib,ušēšib,wašābu,settle,V,"['𒌑', '𒊺', '𒈨']",𒌑𒊺𒈨,u₂-še-šib,"['complete', 'complete', 'complete']",0.0,,,Q003418,4,19
