,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
14638,Q003421.2.1,šallassu[booty]N,šal-la-su,šallassu,šallatu,booty,N,"['𒊩', '𒆷', '𒋢']",𒊩𒆷𒋢,šal-la-su,"['complete', 'complete', 'complete']",0.0,,,Q003421,2,1
14639,Q003421.2.2,ašlula[carry off]V,aš₂-lu-la,ašlula,šalālu,carry off,V,"['𒀾', '𒇻', '𒆷']",𒀾𒇻𒆷,aš₂-lu-la,"['complete', 'complete', 'complete']",0.0,,,Q003421,2,2
14640,Q003421.2.3,Ramateia[ruler of Araziaš]RN,{m}ra-ma-te-ia,Ramateia,Ramateia,ruler of Araziaš,RN,"['𒁹', '𒊏', '𒈠', '𒋼', '𒅀']",𒁹𒊏𒈠𒋼𒅀,{m}ra-ma-te-ia,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,RN,,Q003421,2,3
14641,Q003421.2.4,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,Q003421,2,4
14642,Q003421.2.5,Araziaš[]GN$,{kur}a-ra-zi-[aš₂,Araziaš,Araziaš,1,GN,"['𒆳', '𒀀', '𒊏', '𒍣', '𒀾']",𒆳𒀀𒊏𒍣𒀾,{KUR}a-ra-zi-[aš₂],"['complete', 'complete', 'complete', 'complete', 'missing']",0.2,GN,,Q003421,2,5
14643,Q003421.2.6,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003421,2,6
14644,Q003421.3.1,šū[he]IP,šu-u₂,šū,šū,he,IP,"['𒋗', '𒌑']",𒋗𒌑,šu-u₂,"['complete', 'complete']",0.0,,,Q003421,3,1
14645,Q003421.3.2,hallālāniš[like a centipede]AV$,hal-la-la-niš,hallālāniš,hallālāniš,like a centipede,AV,"['𒄬', '𒆷', '𒆷', '𒎙']",𒄬𒆷𒆷𒎙,hal-la-la-niš,"['complete', 'complete', 'complete', 'complete']",0.0,,,Q003421,3,2
14646,Q003421.3.3,naparšudu[flee]V$ipparšidma,ip-par-ši-id-ma,ipparšidma,naparšudu,flee,V,"['𒅁', '𒌓', '𒅆', '𒀉', '𒈠']",𒅁𒌓𒅆𒀉𒈠,ip-par-ši-id-ma,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,,,Q003421,3,3
14647,Q003421.3.4,mamma[anybody]XP,mam₂-ma,mamma,mamman,anybody,XP,"['𒊩', '𒈠']",𒊩𒈠,mam₂-ma,"['complete', 'complete']",0.0,,,Q003421,3,4
14648,Q003421.3.5,lā[not]MOD,la,lā,lā,not,MOD,['𒆷'],𒆷,la,['complete'],0.0,,,Q003421,3,5
14649,Q003421.3.6,ēmuru[see]V,e-⸢mu⸣-[ru,ēmuru,amāru,see,V,"['𒂊', '𒈬', '𒊒']",𒂊𒈬𒊒,e-⸢mu⸣-[ru],"['complete', 'damaged', 'missing']",0.5,,,Q003421,3,6
14650,Q003421.3.7,ašru[place]N$ašaršu,a-šar-šu,ašaršu,ašru,place,N,"['𒀀', '𒊬', '𒋗']",𒀀𒊬𒋗,[a-šar-šu],"['missing', 'missing', 'missing']",1.0,,,Q003421,3,7
14651,Q003421.3.8,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003421,3,8
