,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,lang,text,line,word
5321,Q003424.3.1,Bit-Agusi[]GN$,{kur}E₂-[a-gu-si,Bit-Agusi,Bit-Agusi,1,GN,"['𒆳', '𒂍', '𒀀', '𒄖', '𒋛']",𒆳𒂍𒀀𒄖𒋛,{KUR}E₂-[a-gu-si],"['complete', 'complete', 'missing', 'missing', 'missing']",0.6,GN,,Q003424,3,1
5322,Q003424.3.2,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003424,3,2
5323,Q003424.4.1,ina[in]PRP,ina,ina,ina,in,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,Q003424,4,1
5324,Q003424.4.2,libbi[interior]N,⸢lib₃-bi⸣,libbi,libbu,interior,N,"['𒊮', '𒁉']",𒊮𒁉,⸢lib₃-bi⸣,"['damaged', 'damaged']",0.5,,,Q003424,4,2
5325,Q003424.4.3,u,x,,,,u,['x'],x,x,['complete'],0.0,,,Q003424,4,3
5326,Q003424.4.4,u,[...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003424,4,4
5327,Q003424.5.1,ša[of]DET,ša,ša,ša,of,DET,['𒊭'],𒊭,ša,['complete'],0.0,,,Q003424,5,1
5328,Q003424.5.2,Matiʾ-il[king of Arpad]RN$,{m}ma-[ti-ʾi-il₃,Matiʾ-il,Matiʾ-il,king of Arpad,RN,"['𒁹', '𒈠', '𒋾', '𒀪', '𒀭']",𒁹𒈠𒋾𒀪𒀭,{m}ma-[ti-ʾi-il₃],"['complete', 'complete', 'missing', 'missing', 'missing']",0.6,RN,,Q003424,5,2
5329,Q003424.5.3,u,...],,,,u,['x'],x,[x],['missing'],1.0,,,Q003424,5,3
5330,Q003424.6.1,ina[on]PRP,ina,ina,ina,on,PRP,['𒀸'],𒀸,ina,['complete'],0.0,,,Q003424,6,1
