text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",1,3,IBcBkqlVbQirRUcFmvkNQNFWJCE,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",1,4,IBcBku19SzDWQEarnjXpDfb6XCg,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",1,5,IBcBkpxbnODKiUHwgQVKlRMJbGI,dr,dr,𓂧𓐰𓂋𓀜,𓂧𓂋𓀜,"['𓂧', '𓂋', '𓀜']",180130,dr,VERB,,entfernen; vertreiben; vertilgen,,,0.0,"['𓂧', '𓂋', '𓀜']","['complete', 'complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",1,6,IBcBkqYCMZYLTEGih15gs1f2uQY,ḥmw.t-zꜣ,ḥmw.t-zꜣ,𓍍𓏏𓐰𓏤𓏛𓐰𓏥𓎃𓏤𓏛𓐰𓏥,𓍍𓏏𓏤𓏛𓏥𓎃𓏤𓏛𓏥,"['𓍍', '𓏏', '𓏤', '𓏛', '𓏥', '𓎃', '𓏤', '𓏛', '𓏥']",105460,ḥmw.t-zꜣ,NOUN,,[Hautkrankheit],,,0.0,"['𓍍', '𓏏', '𓏤', '𓏛', '𓏥', '𓎃', '𓏤', '𓏛', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",2,1,IBcBklO5jlKJB0OksPrXIikxJkM,ḫprr,ḫprr,𓆣𓏤,𓆣𓏤,"['𓆣', '𓏤']",116410,ḫprr,NOUN,,[Käfer],,,0.0,"['𓆣', '𓏤']","['complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",2,2,IBcBktnSTvEEq0mLmY7SPWVLaFo,ꜥꜣ,ꜥꜣ,𓉻𓐰𓏛,𓉻𓏛,"['𓉻', '𓏛']",450158,ꜥꜣ,ADJ,,groß; viel; lang; alt; erhaben,,,0.0,"['𓉻', '𓏛']","['complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",3,1,IBcBktTwoMQUVkThiug8t160wg4,šꜥ,šꜥ,𓈙𓐰𓂝𓌪𓐰𓂝,𓈙𓂝𓌪𓂝,"['𓈙', '𓂝', '𓌪', '𓂝']",152200,šꜥ,VERB,,schneiden; abtrennen,,,0.0,"['𓈙', '𓂝', '𓌪', '𓂝']","['complete', 'complete', 'complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",3,2,IBcBkuQlLFHwrkm3jDFC82TiPQw,ḏꜣḏꜣ,ḏꜣḏꜣ,𓁶𓏤,𓁶𓏤,"['𓁶', '𓏤']",182330,ḏꜣḏꜣ,NOUN,,Kopf; Spitze,,,0.0,"['𓁶', '𓏤']","['complete', 'complete']"
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",3,3,IBcBkmXsyG7HgU8EhMlpChCdNmk,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
RL7SXJKJGBHSBENWAX2KFQDGNA,"Medizinische Texte || pEbers || 88,13-89,1 = Eb 733-738: Heilmittel gegen $ḥmw.t-zꜣ$-Aussatz und gegen $wꜣšš$-Leiden",3,4,IBcBkqp2WH9dD0pgoJOPqdUyNRI,dnḥ.DU,dnḥ.DU,𓂧𓐰𓈖𓎛𓆃𓐰𓆃,𓂧𓈖𓎛𓆃𓆃,"['𓂧', '𓈖', '𓎛', '𓆃', '𓆃']",184370,ḏnḥ,NOUN,,Flügel,,,0.0,"['𓂧', '𓈖', '𓎛', '𓆃', '𓆃']","['complete', 'complete', 'complete', 'complete', 'complete']"
