text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",1,4,IBYDN6sybxbPRE3IizjfwvDzQWA,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",1,5,IBkAdyitVa3CLUoKrZeeEj87aYk,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",1,6,IBYDNWcU3XZGx09Draanz2S8ShQ,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",1,7,IBYDN3UoDQHlwUMlnXQTkd0fSL4,n.t,n.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",1,8,IBYDN30WKDCu7EJ6hBviJkJiQIY,srwḫ,srwḫ,𓋴𓂋𓐰𓏲𓐍𓐰𓏛,𓋴𓂋𓏲𓐍𓏛,"['𓋴', '𓂋', '𓏲', '𓐍', '𓏛']",139310,srwḫ,VERB,,behandeln; pflegen,,,0.0,"['𓋴', '𓂋', '𓏲', '𓐍', '𓏛']","['complete', 'complete', 'complete', 'complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",1,9,IBYDN95MnJS2pEiNp9dlUPt6q5w,mꞽs.t,mꞽs.t,𓈘𓐰𓈇𓋴𓏏𓐰𓄹,𓈘𓈇𓋴𓏏𓄹,"['𓈘', '𓈇', '𓋴', '𓏏', '𓄹']",68520,mꞽz.t,NOUN,,Leber,,,0.0,"['𓈘', '𓈇', '𓋴', '𓏏', '𓄹']","['complete', 'complete', 'complete', 'complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",2,1,IBYDN9HGxoxJWEIWgw75Mw2HO5c,d(ꜣ)b,dꜣb,𓂧𓐰𓃀𓍼𓐰𓈒𓐱𓏥,𓂧𓃀𓍼𓈒𓏥,"['𓂧', '𓃀', '𓍼', '𓈒', '𓏥']",177710,dꜣb,NOUN,,Feige; Feigenbaum,,,0.0,"['𓂧', '𓃀', '𓍼', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",2,2,IBYDN61mSoLpHUZ0sWj5lzZvUI4,rʾ-8,rʾ-8,𓂋𓐰𓏽𓐰𓏽,𓂋𓏽𓏽,"['𓂋', '𓏽', '𓏽']",600569,1...n+++1/+2...1/n,NUM,,[Bruchzahl],,,0.0,"['𓂋', '𓏽', '𓏽']","['complete', 'complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",2,3,IBYDN67NQqa8dUpNjYpck9UscH8,ꞽšd,ꞽšd,𓇋𓄞𓐰𓂧𓇭𓈒𓐰𓏥,𓇋𓄞𓂧𓇭𓈒𓏥,"['𓇋', '𓄞', '𓂧', '𓇭', '𓈒', '𓏥']",32150,ꞽšd,NOUN,,[Frucht vom Isched-Baum],,,0.0,"['𓇋', '𓄞', '𓂧', '𓇭', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
R5GRVN4WBBHDDIQOWWCW5YZBFU,"Medizinische Texte || pEbers || 67,7-67,16 = Eb 477-481: Heilmittel zum Behandeln der Leber",2,5,IBYDN39Abu6QF08sh8dJFMuLs7w,rʾ-8,rʾ-8,𓂋𓐰𓏽𓐰𓏽,𓂋𓏽𓏽,"['𓂋', '𓏽', '𓏽']",600569,1...n+++1/+2...1/n,NUM,,[Bruchzahl],,,0.0,"['𓂋', '𓏽', '𓏽']","['complete', 'complete', 'complete']"
