text,text_name,line,word,ref,frag,norm,unicode_original,unicode_word,unicode,lemma_id,cf,pos,mask,sense,inst,reading,break_perc,unicode_splitted,break
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,3,IBcAVODDsBK1wEGhmOWWYF6ayRg,ḥꜣ.t-ꜥ,ḥꜣ.t-ꜥ,𓄂𓐰𓂝,𓄂𓂝,"['𓄂', '𓂝']",853378,ḥꜣ.t-ꜥ,NOUN,,"Anfang (von etwas, mit versch. Präpositionen)",,,0.0,"['𓄂', '𓂝']","['complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,4,IBkAd2Lggc3rO0eamMh6vpRr2x0,m,m,𓅓,𓅓,['𓅓'],400082,m,PREP,,"in (der Art); von (partitiv); als (Eigenschaft, Material); bestehend aus; in der Eigenschaft als",,,0.0,['𓅓'],['complete']
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,5,IBcAVJ7ewZVsO0BprYHB4hRQwOE,pẖr.t,pẖr.t,𓄲𓐰𓂋𓐱𓏏𓈒𓐰𓏥,𓄲𓂋𓏏𓈒𓏥,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']",61950,pẖr.t,NOUN,,Heilmittel (allg.),,,0.0,"['𓄲', '𓂋', '𓏏', '𓈒', '𓏥']","['complete', 'complete', 'complete', 'complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,6,IBcAVH3zIzrbzE2slIOeez2BWhA,n(.ꞽ).t,n.ꞽ.t,𓈖𓐰𓏏,𓈖𓏏,"['𓈖', '𓏏']",79800,n.ꞽ,ADJ,,von [Genitiv],,,0.0,"['𓈖', '𓏏']","['complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,7,IBcAVOa3U37N0U1kppBm6vt6hlE,ḏbꜥ,ḏbꜥ,𓂭𓏤,𓂭𓏤,"['𓂭', '𓏤']",183430,ḏbꜥ,NOUN,,Finger,,,0.0,"['𓂭', '𓏤']","['complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,8,IBcAVJbxxtK0nUMdshzxepC6fOA,mḥr,mḥr,𓍋𓅓𓐰𓂋𓅪,𓍋𓅓𓂋𓅪,"['𓍋', '𓅓', '𓂋', '𓅪']",71790,mr,VERB,,schmerzen; krank sein; leiden,,,0.0,"['𓍋', '𓅓', '𓂋', '𓅪']","['complete', 'complete', 'complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,9,IBcAVGilrqrBLUIcsQ0QHcpusCs,⸗f,⸗f,𓆑,𓆑,['𓆑'],10050,⸗f,PRON,,[Suffix Pron. sg.3.m.],,,0.0,['𓆑'],['complete']
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,10,IBcAVHaazvFy3kPdoEvdYZZPih0,sꜣḥ,sꜣḥ,𓃃𓏤𓄹,𓃃𓏤𓄹,"['𓃃', '𓏤', '𓄹']",126950,sꜣḥ,NOUN,,Zehe (des menschlichen Fußes),,,0.0,"['𓃃', '𓏤', '𓄹']","['complete', 'complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",1,11,IBcAVBIj9M7KW0LDq3c1UmGdWRA,rʾ-pw,rʾ-pw,𓂋𓏤𓊪𓏲,𓂋𓏤𓊪𓏲,"['𓂋', '𓏤', '𓊪', '𓏲']",92850,rʾ-pw,PART,,oder,,,0.0,"['𓂋', '𓏤', '𓊪', '𓏲']","['complete', 'complete', 'complete', 'complete']"
WRSVQJLYRBHEDIDXVV3MQMAEKI,"Medizinische Texte || pEbers || 78,4-79,5 = Eb 616-626: Heilmittel für Finger und Zehen",2,1,IBcAVK0UPxriBEKWnW7rBeL7IW8,ꞽr-m-ḫt,ꞽr-m-ḫt,𓇋𓂋𓅓𓆱𓐰𓐍𓏏𓐰𓂻,𓇋𓂋𓅓𓆱𓐍𓏏𓂻,"['𓇋', '𓂋', '𓅓', '𓆱', '𓐍', '𓏏', '𓂻']",28350,ꞽr-m-ḫt,ADV,,danach (vorangestellt),,,0.0,"['𓇋', '𓂋', '𓅓', '𓆱', '𓐍', '𓏏', '𓂻']","['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']"
